G4         | pool 6 / answers  2 | distinct50 10 | floor 9
G5         | pool 6 / answers  4 | distinct50 43 | floor 25
G6         | pool 6 / answers  1 | distinct50 36 | floor 22
G7         | pool 6 / answers  2 | distinct50 22 | floor 11
G8         | pool 6 / answers  3 | distinct50  6 | floor 6
R1         | pool 6 / answers  3 | distinct50 45 | floor 25
R2         | pool 6 / answers  5 | distinct50 48 | floor 35
V4         | pool 6 / answers  3 | distinct50 44 | floor 40
Z          | pool 6 / answers  2 | distinct50 39 | floor 25
g1CAL      | pool 8 / answers  6 | distinct50 43 | floor 30
g1CMPQ     | pool 8 / answers  7 | distinct50 50 | floor 35
g1EST      | pool 8 / answers  8 | distinct50 38 | floor 25
g1ESTR     | pool 8 / answers  4 | distinct50 50 | floor 40
g1EVEN     | pool 8 / answers  2 | distinct50 34 | floor 25
g1FRSET    | pool 8 / answers  7 | distinct50 29 | floor 27
g1MONEY    | pool 8 / answers  6 | distinct50 32 | floor 22
g1PAT      | pool 8 / answers  7 | distinct50 45 | floor 25
g1SHP3     | pool 8 / answers  6 | distinct50 38 | floor 25
g3CMP10    | pool 8 / answers  8 | distinct50 50 | floor 45
g3CMP4     | pool 8 / answers  8 | distinct50 50 | floor 45
g3EST3     | pool 8 / answers  8 | distinct50 50 | floor 40
g3EVENM    | pool 8 / answers  6 | distinct50 37 | floor 28
