A2       | pool 8 | distinct50 50 | floor 40
B2       | pool 8 | distinct50 36 | floor 25
B3       | pool 8 | distinct50 37 | floor 22
B4       | pool 8 | distinct50 50 | floor 40
DA1      | pool 6 | distinct50 50 | floor 40
DA2      | pool 6 | distinct50 16 | floor 14
DA3      | pool 6 | distinct50 47 | floor 30
F12      | pool 8 | distinct50 46 | floor 40
Fr2      | pool 8 | distinct50 26 | floor 22
Fr3      | pool 8 | distinct50 14 | floor 14
G1       | pool 6 | distinct50 36 | floor 16
G2       | pool 6 | distinct50 43 | floor 20
G3       | pool 6 | distinct50  6 | floor 6
M1       | pool 6 | distinct50 30 | floor 26
M4       | pool 6 | distinct50 45 | floor 40
Ord      | pool 6 | distinct50 48 | floor 22
P        | pool 6 | distinct50 37 | floor 35
Q1       | pool 6 | distinct50 21 | floor 18
Q5       | pool 6 | distinct50 34 | floor 28
S1       | pool 6 | distinct50 46 | floor 40
S2       | pool 6 | distinct50 49 | floor 40
V1       | pool 6 | distinct50 22 | floor 24
V2       | pool 6 | distinct50 34 | floor 28
V3       | pool 6 | distinct50 22 | floor 22
g1ADD    | pool 8 | distinct50 39 | floor 30
g1HALF   | pool 8 | distinct50 12 | floor 11
g1QRT    | pool 8 | distinct50 10 | floor 10
